ürün adý,cilt tipi,kategori,içerik,is_exist
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Allantoin,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Green Tea Extract,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Chamomile Extract,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Salicylic Acid,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Lactic Acid,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Squalane,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Shea Butter,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Jojoba Oil,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Dimethicone,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Licorice Root Extract,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Titanium Dioxide,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Zinc Oxide,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Cocamidopropyl Betaine,1
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Decyl Glucoside,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Retinol,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Alcohol Denat,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Essential Oils,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Limonene,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Linalool,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Eugenol,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Geraniol,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Citral,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Methylisothiazolinone,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Methylchloroisothiazolinone,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Propylene Glycol,1
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Benzyl Alcohol,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,BHT,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Formaldehyde,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Isopropyl Alcohol,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Sodium Lauryl Sulfate,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Water,1
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Glycerin,1
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Niacinamide,1
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Hyaluronic Acid,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Panthenol,1
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Aloe Vera Extract,0
Cyrene Hydrating Cleanser (Normal),NORMAL,Temizleyici,Vitamin E,0
